authorId;date;link;text
3;Mon, 08 May 2023 15:33:21 GMT;http://twitter.com/almarlatour/status/1655687355921997826;Today The Wall Street Journal received the Pulitzer Prize for investigative reporting for its powerful Capital Assets series, reporting that revealed how thousands of senior federal officials owned stock in companies they or their agency directly oversaw.…   https:// lnkd.in/dJMgqAyp
5;Fri, 01 Mar 2024 08:52:19 GMT;http://twitter.com/poverberg/status/1763578015663951927;RT @paulwsj : #IStandWithEvan and with his incredible family. Please read about their grace and bravery:   https:// uk.news.yahoo.com/much-time-hes- lost-jailed-013705568.html   …
5;Wed, 28 Feb 2024 09:59:04 GMT;http://twitter.com/poverberg/status/1762870040200724961;RT @paulwsj : #IStandWithEvan
5;Fri, 23 Feb 2024 11:10:33 GMT;http://twitter.com/poverberg/status/1761076087423947119;RT @elizacollins1 : Fed up with pandemic restrictions, Sandy Zal uprooted her family from N.Y. to S.C. Her family named their new comp… https://t.co/GCLNv95fj3
5;Wed, 21 Feb 2024 09:41:24 GMT;http://twitter.com/poverberg/status/1760328877128184303;RT @jaketapper : It’s Wednesday, February 21, 2024.WSJ reporter Evan Gershkovich was detained by the FSB Mar 29, 2023.329 DAYS A… https://t.co/6gd6RWJEAa
5;Wed, 21 Feb 2024 09:37:54 GMT;http://twitter.com/poverberg/status/1760327998023090587;RT @l_e_whyte : NEW from me: Sanofi's new antibody shot promises to drastically cut the chances of a baby going to the hospital wit… https://t.co/z4XUZ5zD5V
6;Thu, 08 Feb 2024 12:23:49 GMT;http://twitter.com/joe_palazzolo/status/1755658707264798895;RT @rebeccaballhaus : The FDIC's HR operation has an HR problem. In the two departments charged with addressing employees' complaints of… https://t.co/GekolaiLqp
6;Fri, 02 Feb 2024 06:33:19 GMT;http://twitter.com/joe_palazzolo/status/1753396173853888892;RT @AndrewRestuccia : Big scoop from @joe_palazzolo @khadeeja_safdar and @thetrough Federal Prosecutors Investigate Vince McMahon Sex-T… https://t.co/1xOhT9RuXH
6;Fri, 26 Jan 2024 20:11:48 GMT;http://twitter.com/joe_palazzolo/status/1751065439248019945;RT @thetrough : Vince McMahon, the founder of modern professional wrestling who weathered allegations of sexual misconduct for deca… https://t.co/ZI63seGhLv
6;Wed, 17 Jan 2024 10:02:05 GMT;http://twitter.com/joe_palazzolo/status/1747650507374543211;RT @WSJ : 🧵Nearly 300 days ago, Wall Street Journal reporter Evan Gershkovich was detained in Russia during a reporting trip.… https://t.co/vEEPqellGH
